sample,yield,P-mositure,P-acid,P-sugar,P-starch,D-mositure,D-acid,D-sugar,D-starch,P-lactic_acid,P-ethanol,D-lactic_acid,D-ethanol
R1-255,40,41.7,1.11,0.83,33.48,43.1,0.81,1.68,33.48,2.6,16.9,2.6,1.9
R1-256,27.4364,39.8,1.01,1.79,35.64,41.8,0.71,1.5,36,3.5,18.5,2.2,1.9
R1-257,22.01043478,39.2,1.21,0.75,34.56,41.9,1.11,1.47,37.26,3.4,5.8,2.1,1.9
R1-258,27.14884615,39.4,0.8,0.82,34.56,41.2,0.81,1.48,37.8,2.5,12.3,2,1.9
R1-259,45.3,40.6,1.23,0.42,35.64,38.9,0.41,1.4,36.72,2,7.8,3.4,1.8
R1-260,36.54,43.4,0.92,0.51,34.02,43.8,0.81,1.09,33.57,2.8,11.4,3.2,1.8
R1-261,44.6,39.7,1,1.08,41.58,39.8,0.61,1.48,34.74,1.6,9,2.2,1.8
R1-262,47.35,40.8,0.9,0.8,38.3,41,1.3,1.1,37.6,1.6,17.4,1.8,1.8
R1-263,40.5,43.2,1.11,1.32,32.4,40.7,0.71,1.56,35.28,3.6,11.6,2.3,1.7
R1-264,63.94,42.3,0.8,0.2,39.2,39.8,0.7,1.6,41.1,0.9,11.5,2.2,1.7
R1-265,35.5,43.7,1.09,0.75,36.9,43.5,1.34,1.56,32.94,5.6,16,3.5,1.6
R1-266,36.8,43.5,1.86,0.34,36,42.1,1.08,2.14,33.3,4.4,12.8,3.2,1.6
R1-267,44.5,39.6,0.9,0.88,35.28,40.7,0.82,1.58,37.28,2.2,8.8,2.2,1.6
R1-268,27.23384615,40.2,1.11,0.79,34.2,41.2,0.81,1.51,38.52,2.9,7.9,1.8,1.6
R1-269,36.4,42.5,1.39,1.07,39.42,41.8,1.34,1.38,31.5,3.8,15.1,4.3,1.4
R1-270,45.2,41.3,0.82,0.3,40.14,39.5,0.51,1,38.16,1.8,8.8,2.2,1.4
R1-271,28.3,41,0.65,1.54,39.6,37.4,1.21,1.89,36.52,2.8,8.6,2,1.4
R1-272,34.71,41.8,1.21,0.47,36.07,41.5,1.31,1.89,35.82,1.8,10.2,1.4,1.4
R1-273,36.4,40.4,1.44,0.29,33.66,40.6,1.13,2.06,35.64,5,8.6,3.8,1.2
R1-274,41.65384615,43.1,1.22,0.93,33.66,40.2,1.01,1.36,33.3,3.7,10.1,3.5,1.2
R1-275,37.39,39.5,1,0.6,43.8,40.8,0.9,1.4,38.8,1.7,7.2,3.2,1.2
R1-276,36.6,43.6,2.02,0.29,33.3,42.6,0.82,1.65,35.28,5,8.6,2.9,1.2
R1-277,31.62,39.7,1.2,1.6,38.2,40.3,0.9,1.7,36,3.2,12.6,2,1.2
R1-278,26.31,41.8,1.01,0.53,35.98,38,1.06,2.32,38.52,1.4,6.6,1.4,1.2
R1-279,50.69,38.8,1.31,1.13,34.38,40.5,1.3,1.27,34.38,2.2,7,0.4,1.2
R1-280,32.69,43,0.9,0.1,34,43,1.6,0.6,37,2.5,19.1,4,1
R1-281,42.3,38.9,1.38,0.68,41.94,40,0.61,1.38,34.02,2.2,9.3,2.2,1
R1-282,63.94,40.5,1,0.6,37.7,39.6,0.6,1.8,42,2.5,14.7,2.7,0.8
R1-283,38.92,42.4,1.06,0.98,36.36,41.8,1.06,1.89,34.56,1,14,2,0.8
R1-284,51.5,42,1.23,0.72,34.74,39.2,0.51,1.3,32.4,2.6,8.8,2,0.8
R1-285,31,43,1.2,0.2,30,43,0.8,0.5,39,3.2,19.6,4.6,0.6
R1-286,34.8,39.6,1.13,0.78,36.9,40,0.88,1.9,33.03,4.3,6.3,3.1,0.6
R1-287,36,45,1.2,0.6,35,43,1.2,1.8,35,3.6,10.2,3,0.6
R1-288,32.43,42.4,1.26,0.68,35.62,41.5,0.94,1.96,36.86,2.4,9.6,1.4,0.6
R1-289,34.78,42.4,1.22,0.41,34.69,41.4,1.08,1.72,35.46,0,16.8,0.4,0.6
R1-290,31.39,43,1.04,0.68,34.38,37.4,1.11,1.57,33.1,2.8,9.4,2.4,0.4
R1-291,34.03,41.8,1.41,0.29,35.1,39.2,1.71,1.88,32.58,2.6,7,2,0.4
R1-292,43.94565217,40.8,1.24,1.16,35.82,43.8,1.53,1.94,34.2,2.8,11.5,1.6,0.4
R1-293,32.41,41,1,0.4,34,42,1.2,2.1,33,3,14.8,3,0.2
R1-294,29.52,41.6,1.58,0.41,33.84,41.6,1.21,1.72,35.82,3.8,7.6,2.8,0.2
R1-295,37.23,46.4,1.39,0.1,31.14,42.6,2.22,2.58,30.96,2,6.6,2.8,0.2
R1-296,36.8,42,1.76,0.78,31.86,40.6,1.28,1.57,32.94,4.6,8.4,2.6,0.2
R1-297,35.44,39,1.71,0.59,34.2,39.8,1.11,2.13,33.57,3.2,4,2.6,0.2
R1-298,32.19,42.2,1.01,0.85,34.11,41.4,1.41,1.46,35.89,3,6.6,2.2,0.2
R1-299,41.65384615,42.6,1.11,0.56,32.76,41.2,0.91,1.66,31.32,3.8,3.2,3.8,0
R1-300,38.88,44,1,0.5,33,42,0.9,2.5,30,3.6,9,2.6,0
R1-301,35.91,43,1.01,1.78,32.76,43.2,1.63,1.75,34.02,3,4.7,2.2,0
R1-302,36.25,40.6,1.32,0.37,32.67,42.5,1.33,1.98,33.84,4.2,5.8,1.5,0
R1-303,34.07,42,1.52,0.78,32.58,40.9,1.33,1.43,33.3,3,4.6,1.4,0
R2-1,44.47,44.6,2.12,0.51,32.58,46.4,1.76,0.8,27.09,2.6,12.4,3.6,21
R2-2,73.53,43.4,1.8,0.16,30.6,48.2,1.6,0.76,26.82,2.2,19.4,2.4,20.6
R2-3,59.14,44.8,2.4,0.3,29.2,45.5,1.6,1.8,23,4,18,4.4,20.2
R2-4,60.4,44.6,0.8,0.47,35.1,46.1,0.7,0.62,28.12,1,25.7,2.8,19.4
R2-5,61.78,45.6,2.1,0.21,29.14,46.8,2.26,1.08,28.44,3,16.6,3.4,18.8
R2-6,69.38066667,48.9,1.52,0.87,25.92,47.5,1.92,1.43,29.34,4,21.6,6.8,18.4
R2-7,94.9,46,2.1,0.8,29,46,2.2,1.1,19,2.6,31.6,1.6,17.2
R2-8,51.8759375,45.1,1.82,0.52,26.82,48.2,1.82,1.36,28.8,4.4,20.6,8.4,17
R2-9,42.57,43.9,2.27,0.58,26.8,46.1,1.61,0.94,28.76,3.2,14.2,3.4,16.8
R2-10,72.9,45,1.8,0.1,29,47,2.6,0.5,20,1.4,22,3.2,16.8
R2-11,45.48,46.3,2.9,0.2,24.5,46.8,2,1.9,26.8,3.866666667,12,4,16.2
R2-12,68.38472222,46.5,1.82,0.62,26.28,48.5,2.63,1.11,25.92,4.4,15.8,9,16
R2-13,49.39,44.4,2.29,0.27,31.32,47.9,1.99,0.93,27.18,3.8,15.8,1.8,16
R2-14,66.92,44.9,2.07,0.54,31.14,46.4,1.4,0.93,28.26,2.8,23.6,3.2,15.8
R2-15,69.23551724,47.8,1.32,0.89,25.74,47.8,1.81,1.12,30.96,4,21.4,8,15.6
R2-16,58.40241379,47.1,1.81,0.91,29.16,47.6,1.92,1.19,29.16,3.2,19.2,7.4,15.6
R2-17,62.4,42.8,0.8,0.31,31.32,45.6,0.87,0.65,29.16,2.6,24,3.4,15.4
R2-18,66.57384615,47.2,1.72,0.54,25.38,47.5,2.03,0.95,28.08,5.6,20.4,8.6,15.2
R2-19,80.75,42,1.8,0.1,31,48.8,2.2,2.6,18.2,3.2,24.8,4.6,15.2
R2-20,81.07,46.9,1.42,0.72,27.5,48.4,1.71,1.05,26.46,2.4,28.4,3.4,15.2
R2-21,67.8,47,1.7,0.1,29,48,2,0.9,23,5.2,24,3.4,15.2
R2-22,63.6,43.4,2.01,0.08,32.04,46.4,1.5,0.78,29.34,3.4,19.8,3,15.2
R2-23,70.31,45,2.5,0.1,33,48.2,2.9,1.4,25.9,2.8,32,2.4,15.2
R2-24,85.96,46,1.4,0.5,26,47,1.3,1.3,24,4.4,20.6,3.6,15
R2-25,80.46,47.4,1.21,0.54,29.52,49.5,1.98,0.69,25.99,3.4,31.6,3.6,14.8
R2-26,38.25,43,1.71,0.32,30.53,46,1.61,1.03,28.98,1.6,19.8,3.4,14.8
R2-27,74.87384615,47.1,2.52,0.35,25.92,43.3,1.5,1.15,27.9,2,14,3.2,14.6
R2-28,57.8556,45.8,2.47,0.17,29.7,45.6,1.61,1.36,30.56,1,14,2.6,14.6
R2-29,71.21,44.2,1.41,0.16,28.44,45,1.46,0.89,29.16,1.8,19,2,14.4
R2-30,68.3,46.2,1.71,0.26,28.04,46.2,1.53,0.82,29.88,3,26.4,3.8,14.2
R2-31,80.4,47,1.7,0.1,27,47,2.1,1.2,24,2.8,26.8,2.6,14.2
R2-32,67.44,44.6,2.25,0.16,30.06,46.4,1.54,0.87,29.61,3.2,29.8,3.8,14
R2-33,71.79,47,1.6,0.2,25,48,2,0.5,25,2.8,22.4,3.4,14
R2-34,71.72,46,1.7,0.1,29,47,2.4,1.1,21,2.8,32.8,3,14
R2-35,73.66,46,2.1,0.1,28,49.1,2.2,2,22.7,4.4,28.8,5.4,13.8
R2-36,74.31,46,2.5,0.4,30,48.7,3.2,2.2,15.5,6,31.2,4.8,13.8
R2-37,54.23,43.6,0.8,0.14,29.88,40.4,1.68,1.47,31.5,3,15.8,4.6,13.8
R2-38,66.48,46,1.4,0.4,28,47,2.5,0.6,22,0.4,31.2,1.4,13.8
R2-39,66.7553125,46.8,1.52,0.54,26.28,48.2,2.23,1.29,30.42,4.2,20,7,13.6
R2-40,48.17,46.1,2.5,0.3,24.7,46.3,2.1,2,22.7,3.6,16.8,4,13.6
R2-41,83.46,47,2.3,0.9,24,47,2,0.7,23,2.8,22,3.6,13.6
R2-42,70.75,47.9,1.68,0.29,25.74,49.1,2.64,0.98,25.48,4.8,33.8,3.8,13.4
R2-43,30.64,43.8,2.25,0.33,29.88,46.4,1.5,1.3,29.61,3.4,12.8,3.6,13.4
R2-44,70.34,44.8,2.05,0.14,27.72,48.1,1.68,0.77,29.43,1.2,25.2,1.4,13.4
R2-45,53.77586207,48.9,3.14,0.46,25.56,47.9,1.92,1.03,28.62,5.6,22,9.2,13.2
R2-46,66.1,43.1,1.93,1.02,23.94,46.3,0.81,0.92,28.35,2,20,3.6,13.2
R2-47,74,46.6,1.42,0.39,26.28,46.5,1.38,0.86,29.52,3,21.2,2.6,13
R2-48,48,45.5,2.65,0.14,27.9,47.5,1.48,0.68,25.74,3.6,18,3.2,12.8
R2-49,73.66,46,2.1,0.1,28,47.8,2.3,1.3,25,2,33.6,3.2,12.6
R2-50,65.1,46.3,1.63,0.42,27.72,43.8,1.69,0.8,28.04,2.8,22.4,3,12.6
R2-51,57.63517241,45.3,2.03,0.32,33.3,46.2,1.42,1.32,33.3,4,20.2,2.4,12.6
R2-52,69.07758621,47.5,1.81,0.7,26.64,47.9,2.02,1.04,28.44,6.6,13.8,7,12.4
R2-53,74.04,45,1.6,0.2,30,48.6,3.3,1.8,24.1,2.8,23.2,4,12.4
R2-54,77.08,47,2,0.3,24,46,2,0.8,25,4.4,32.4,3.2,12.4
R2-55,47.91678571,44.6,1.72,0.33,32.4,46.3,1.32,1.35,31.86,4.4,18.8,3,12.4
R2-56,76.68,47,1.8,0.2,25,48.2,2.8,3,24.7,3.6,38.4,3.6,12.2
R2-57,84.65,47,2.4,0.6,25,47,1.3,0.5,26,3.2,28.4,3.2,12.2
R2-58,64.6,45.4,1.22,1.34,27.18,44.2,1.42,1.2,26.95,1.6,16.4,2.6,12.2
R2-59,69.8,45.4,1.53,0.78,23.76,45.5,1.42,1.14,27.54,2,17.2,2.4,12.2
R2-60,65.62037037,47,3.14,0.54,25.38,48.1,1.51,0.89,25.92,5.4,22.2,7.4,12
R2-61,79.5,45,2.4,0.9,33,48,3.2,1.4,21.2,5.2,28.4,3.6,12
R2-62,72,44.6,2.21,1.37,28.17,45.8,1.4,0.59,26.46,3.6,23.8,3.6,12
R2-63,68.1,48,2.3,0.2,24,48,2.2,0.7,24,2.8,26,3.4,12
R2-64,75.6,43.8,2.06,0.28,28.98,47.8,0.86,0.69,27.54,2.2,19.6,2.4,12
R2-65,59.33,46,2.5,0.3,26,47,2,0.7,25,4.4,13,3.6,11.9
R2-66,67.1,48.3,1.5,0.36,27.72,46.9,2.13,0.62,27.9,1.4,26.6,3.2,11.8
R2-67,82.45,47,1.7,0.6,25,47,2.1,0.8,27,2,28.4,2.8,11.8
R2-68,70.86,46,2.1,0.5,31,47.7,3,1.6,23,6.4,28,4.4,11.6
R2-69,75.05,47,1.8,0.3,24,48,1.9,0.9,24,2.8,18,3.8,11.6
R2-70,75.89,48.8,2.71,0.24,28.26,47.4,1.32,0.82,27.18,2.2,28.6,2.8,11.6
R2-71,68.16,42.5,0.91,0.44,31.16,45.3,0.95,0.74,30.24,1.6,25.2,2.8,11.6
R2-72,33.5,46,2.15,0.58,31.68,47.1,1.61,1.27,28.3,3.2,4.2,2.4,11.6
R2-73,50,45.6,2.73,0.34,28.44,44,1.89,1.24,28.39,5,21.8,1.8,11.6
R2-74,62.87,44,1.65,0.3,31.68,44.2,1.81,1.18,31.68,2.4,19.4,4.6,11.4
R2-75,80.61,44,1.7,0.4,30,48.3,2.7,2.5,18.4,3.6,28.2,4,11.4
R2-76,52.9,45.2,2.25,0.5,30.66,47.8,2.15,1.82,23.76,3.6,18,3.2,11.4
R2-77,78.91,45,1.4,0.1,27,47,1.6,0.5,23,3.2,27.4,4.3,11.2
R2-78,44.14,45.8,2.66,0.33,29.7,43.7,1.72,1.51,29.43,4.6,17,4,11.2
R2-79,75.36,46.1,0.93,0.69,27.05,47.5,1.57,0.88,27,0.2,23.8,3.8,11.2
R2-80,55.36,45,2.29,0.2,30.51,42.6,1.73,0.96,26.82,2.8,23.6,3,11.2
R2-81,71.8,44.8,1.28,0.76,27.9,44.4,1.67,1.42,27.18,1.6,12,2,11.2
R2-82,57.3,46.8,2.87,0.24,26.46,46.6,2.01,1,28.44,5,13.6,6.1,11
R2-83,55.4,45.2,2.62,0.2,28.62,47.4,2.71,0.88,26.82,5.8,17.6,4.4,11
R2-84,77.13,46,1.9,0.1,25,49.3,2.3,2.6,24.3,5.2,26.8,4.2,11
R2-85,34.86,45.2,2.59,0.69,30.96,44.4,2.6,1.23,29.16,2.6,6,3.8,11
R2-86,80.18,46,2.1,0.1,26,49.2,1.9,2.9,25.9,2.8,21.6,3.8,10.8
R2-87,52.86,46,2.25,0.26,30.4,42.6,1.72,1.28,29.32,4.4,17.8,3.2,10.8
R2-88,33.86,45,2.95,0.8,30.02,43.8,2.1,1.38,29.16,3.2,7.2,3.2,10.8
R2-89,50.3,45,2.37,0.56,29.79,45.5,2.01,0.8,24.48,8,28.6,4.3,10.6
R2-90,78.52,44,1.9,0.1,31,47.6,2.6,1.7,25.9,3.6,28.4,4.2,10.6
R2-91,65.99,47,1.9,0.1,27,46.4,1.9,0.9,26,3.2,21.6,3.6,10.6
R2-92,60.14,46.2,1.01,0.74,30.96,46.5,1.6,0.9,29.52,0,18,2.2,10.6
R2-93,78.86,44,1.5,0.9,31,48.6,3.4,1.4,23,5.6,27.6,5,10.4
R2-94,53.4,44.9,2.72,0.18,29.7,46.3,1.71,0.94,26.28,5.6,27.2,2.3,10.4
R2-95,70.97,44,1.8,0.1,29,48,1.9,0.9,21,2,22,3.8,10.2
R2-96,75.55,48,2.2,0.2,24,47,2.2,0.6,23,4,26.8,3.6,10.2
R2-97,56.88,46,2.2,1,26,45,2.1,1.2,25,2.8,16,3.6,10.2
R2-98,72.79,45,2.1,0.1,26,47.9,2.8,2.8,25.2,4.8,34.4,3.4,10.2
R2-99,80.7,47.2,2.13,0.35,27.81,46.7,1.93,0.82,27.54,4,28.4,3.4,10.2
R2-100,38.76,44.8,2.94,0.92,28.8,48.2,2.41,1.5,25.74,2,10.6,1.8,10.2
R2-101,66.88,43.1,2.04,0.64,30.42,47.5,1.49,0.78,28.8,2.6,23,1.6,10.2
R2-102,49,46.1,2.92,0.33,30.42,44.8,2.22,0.98,26.44,5,9.5,4.1,10.1
R2-103,50.38241379,44.3,2.13,0.2,31.68,46.2,1.52,1.47,31.32,4.8,16.4,3.9,10.1
R2-104,70.26,43,1.5,0.1,33,46,2.3,2,22,1.8,13.6,3.6,10
R2-105,78.59,45,1.8,0.3,30,49.1,2.8,2.9,23.4,2,23.2,3.4,10
R2-106,70.8,45.3,1.63,0.88,25.74,44.7,1.57,0.92,28.8,2.8,18.4,3.4,10
R2-107,80.76,47,2,0.1,27,47,1.4,0.4,26,3.2,26.8,3.2,10
R2-108,75.63,47,2,0.4,25,47,2.2,1,24,4.4,16.8,2.4,10
R2-109,52.76,46,1.7,0.24,30.42,41.6,1.11,0.44,26.64,2.4,24,1.2,10
R2-110,67.84586207,46.8,2.02,0.37,31.5,47.6,2.22,1.39,27.9,4,16.2,3.6,9.9
R2-111,70.37,46.9,2.36,0.73,27.99,47.8,1.99,0.65,27.97,2.3,22.2,4,9.8
R2-112,78.17,44,1.8,0.2,32,47.9,2.9,1.2,15.3,3.2,24,4.4,9.6
R2-113,68.86,43.2,1.33,0.24,31.68,44,1.54,1.02,31.5,3.4,22.2,4,9.6
R2-114,72.59,47.3,1.37,0.71,25.74,45.2,1.44,0.94,26.82,0.2,20.2,3.2,9.6
R2-115,68,45,1.83,0.33,27,46.7,1.61,1.14,26.08,4.2,30,2.4,9.6
R2-116,65.82,42.8,1.21,0.79,29.32,44.4,1.3,0.59,26.41,0,17.2,2.4,9.6
R2-117,63,46.3,1.17,0.3,30.42,46.2,0.95,0.56,28.26,1.8,22.6,2,9.6
R2-118,56,45.7,2.46,0.46,27.18,45.4,1.28,0.94,27.9,3.8,11.8,6.2,9.5
R2-119,71.41,46,1.9,0.1,31,47.9,3.1,2.3,16.6,4.4,28.8,4.6,9.4
R2-120,63.12,42.8,1.11,0.36,29.7,48.2,1.1,0.71,26.64,0.2,17,2.8,9.4
R2-121,78.07,46,2,0.4,24,49.3,2.4,2.2,23.8,4.8,32,2.4,9.4
R2-122,70.07083333,49.2,2.33,0.22,24.66,48.7,2.42,1.22,28.08,4.2,22.4,2.4,9.4
R2-123,68.59,42.8,1.61,0.57,28.64,40,1.39,1.3,28.26,0,16,2.2,9.4
R2-124,76.6,45.6,1.01,0.68,28.26,44.6,1.41,0.92,28.26,0,19,1.8,9.4
R2-125,57.9,44.6,1.27,0.7,28.62,42.9,1.73,1.38,28.44,3.2,12.4,6.4,9.2
R2-126,59.63793103,47.8,2.33,0.54,24.66,46.8,2.03,1.23,25.2,4.4,23.2,4.8,9.2
R2-127,48.22931034,45.9,2.32,0.46,32.04,45.2,2.02,1.53,32.22,5.6,19.2,4.8,9.2
R2-128,72.1,45,1.6,0.3,24,47,2.1,1.6,25,3.2,26.4,3.6,9.2
R2-129,76.28,44,1.8,0.1,34,46.8,3.1,1.1,26.3,2,16,3.2,9.2
R2-130,66.47,47,2.72,0.44,30.42,47.7,1.59,0.35,25.38,1.8,25,1.6,9.2
R2-131,59.45709677,45.5,1.92,0.4,32.58,46.9,1.32,1.32,30.42,4.8,19,4,9.1
R2-132,62.63,44.6,1.11,0.44,28.26,45.8,1.15,0.62,27.56,0,18.8,2.5,9.1
R2-133,66.48214286,47.3,2.33,0.62,26.82,48.2,1.51,0.92,27.54,5,23.4,8,9
R2-134,76.34,47,2,0.1,26,48.2,2.1,2.1,22.7,3.2,24.4,4.8,9
R2-135,74.13,44,1.7,0.5,33,49,2.4,1.9,20,4.4,28,4.2,9
R2-136,79,46.8,2.01,0.46,28.73,46.9,1.53,0.52,27.02,3.2,24,3.2,9
R2-137,75.42,44.4,1.61,0.55,30.87,42.6,1.31,1.04,29.52,0.2,17.2,2.2,9
R2-138,61.88107143,46.8,2.02,0.72,32.76,46.7,1.51,1.27,30.6,4,19.8,4.4,8.9
R2-139,49.56,45.8,1.92,0.38,30.78,46.1,1.92,1.38,30.78,3.8,13.2,2.6,8.9
R2-140,77.03,46,2,0.1,24,47,2.9,2.2,22.7,5.2,33.6,4.8,8.8
R2-141,83.2,46.2,1.25,0.41,27.36,43.4,1.75,1.16,29.16,0,18.8,3.6,8.8
R2-142,58.81,46.9,1.72,0.62,25.74,46.8,1.92,1.16,29.16,5.2,21.4,3,8.8
R2-143,76.5,45.5,1.84,0.24,25.56,45.7,1.42,0.88,26.1,1.2,17.2,2.4,8.8
R2-144,79.82,47,2,0.1,27,50.8,2.8,2.8,26,6,32,5.2,8.6
R2-145,56.18766667,44.7,2.12,0.46,33.66,45.1,2.02,1.58,28.98,5.6,18.8,4.6,8.6
R2-146,59.97931034,44.7,2.12,0.92,32.58,45.5,1.71,1.55,32.58,5.2,17.2,4,8.6
R2-147,38.2,44.2,3.1,0.5,25.6,45,1.6,1.6,23.4,5.6,16.4,4,8.6
R2-148,54.5,46.6,1.94,0.46,26.28,45.7,2.76,1.13,24.12,2.8,10.4,4,8.6
R2-149,54.5,46.6,1.94,0.46,26.28,45.7,2.76,1.13,24.12,2.8,10.4,4,8.6
R2-150,71.33615385,46.7,2.15,0.35,29.43,45.9,1.65,1.31,31.32,3.2,17.8,3.6,8.6
R2-151,61.91814815,48.2,2.02,0.27,28.26,45.3,1.82,1.08,29.02,2,20.2,2.8,8.6
R2-152,40.06,43.2,2.63,0.35,28.98,44.2,2.72,2.12,25.92,3.4,8.2,2.8,8.6
R2-153,67.87,40.4,1.36,0.46,27.72,47,1.81,1.01,28.8,0.4,20.4,2.4,8.6
R2-154,71.82,45,1.6,0.3,32,45.9,2.4,1.2,25.2,3.2,27.2,2.2,8.6
R2-155,80.7,48,1.9,0.6,26,47,1.8,0.6,24,4,28.8,4.6,8.4
R2-156,77.07,44,2.2,0.3,30,48.4,2.7,0.5,24.7,3.6,28.4,4,8.4
R2-157,66.51576923,46.2,1.62,1.09,29.43,46.7,2.41,1.3,27.99,2.6,19.8,3.8,8.4
R2-158,67.5,48,2.1,0.3,25,43,1.9,0.7,26,3.2,15.2,3.6,8.4
R2-159,66.38185185,45.7,1.92,0.29,31.68,48.6,1.82,1.37,30.06,5.2,17.6,3.5,8.4
R2-160,71.23,46,2.1,0.1,27,44.8,2,1.7,25.2,2.4,15.2,3.4,8.4
R2-161,80.35,44.2,1.11,0.56,27.72,46.8,1.21,0.84,27.45,0,17.6,2.4,8.4
R2-162,72,43.4,1.03,0.51,28.8,46,1.31,0.83,28.1,0.7,15.4,0.8,8.4
R2-163,42.3,42.6,2.49,0.41,27.18,44.5,1.51,1.2,27.36,5.2,10,4.4,8.3
R2-164,41.10071429,45.7,1.32,0.23,33.3,46.4,2.03,1.66,30.6,5.2,22.2,4.2,8.3
R2-165,50.40233333,46.2,1.92,0.44,31.32,45,2.22,1.49,33.66,5.2,17,4,8.3
R2-166,54.24551724,47.2,1.92,0.54,26.64,45.9,2.12,1.35,29.7,3.8,20.2,4.6,8.2
R2-167,60.53137931,46.8,1.62,0.3,31.5,45.5,1.92,1.64,31.32,4.6,17.8,4.6,8.2
R2-168,52.11111111,43.7,2.16,0.44,28.8,44.9,1.59,1.7,30.42,4.4,10.8,4.3,8.2
R2-169,63.93962963,45.6,1.21,0.88,31.32,45.2,1.81,0.82,26.96,3.2,11.8,3,8.2
R2-170,82.26,47.5,1.51,0.32,30.92,46.2,1.27,1.48,29.72,0,16.6,0.4,8.2
R2-171,40.1,42.8,2.47,0.33,33.3,46.5,1.76,1.45,28.98,9.5,13.1,6.6,8
R2-172,52.26666667,43.5,2.66,0.47,29.16,43.4,1.81,1.62,26.19,5.9,18.1,4.6,8
R2-173,58.04655172,45.6,1.51,0.96,33.66,45.9,1.81,1.48,32.58,3.6,14.4,4.6,8
R2-174,46.58321429,45.1,1.92,0.46,34.38,44.6,1.92,1.49,33.12,4.4,18.8,4.3,8
R2-175,75.9,43,1.49,0.87,29.34,44.7,1.5,0.92,28.62,1.4,17,3.2,8
R2-176,69.96,41.4,1.81,0.5,28.26,45.2,1.41,0.86,30.02,0.2,16.6,2,8
R2-177,67.75,44.2,1.48,0.99,28.98,44.6,1.67,1.49,29.34,2.4,13.2,3.5,7.9
R2-178,52.12,45.2,2.29,0.78,27.18,46.2,2.12,1.3,26.82,1.6,10.6,2.2,7.9
R2-179,50.73448276,45.8,2.13,0.55,30.6,45.8,2.02,1.34,33.66,5.8,15,4.6,7.8
R2-180,44.98,43.6,2.2,0.1,26.1,44.8,2.4,1,26.1,3.6,12,4.3,7.8
R2-181,88.45,47,1.8,0.1,20,46,1.3,0.6,26,4.8,27.2,4,7.8
R2-182,52.13,46.6,2.5,0.1,24.7,45.9,1.8,2,22.5,4.8,22.4,4,7.8
R2-183,52.2,46.1,2.76,0.4,26.1,44.7,2.24,0.64,26.28,6.4,15.2,4,7.8
R2-184,79.17,45,1.8,0.1,32,46.8,2.6,1.5,22.9,4,27.6,3.8,7.8
R2-185,62.8,45.3,1.53,0.74,24.66,45.5,1.37,0.82,26.1,3.2,17.6,3.2,7.8
R2-186,33.33,43,2.5,1.6,30.42,42,2.25,1.34,32.04,2.2,5,3,7.8
R2-187,73.22,46.4,1.19,0.86,30.96,44.2,1.41,1.06,31.86,0,14.4,1.6,7.8
R2-188,57.91,47,2.6,0.2,24,44.3,1.8,0.9,25.4,3.6,18.4,4.2,7.7
R2-189,53.27586207,48.7,1.22,0.52,28.62,48.8,2.42,1.05,26.28,3.8,17.2,3.8,7.7
R2-190,51.61346154,45.3,1.82,0.33,31.86,47.9,1.62,1.41,28.8,4.8,17.6,3.2,7.7
R2-191,52.54166667,45.4,2.03,0.36,31.86,43.9,1.32,1.36,31.86,4.8,18,2.4,7.7
R2-192,84.39,45,2,0.1,31,49.7,3.3,2.1,23,3.2,14,4.6,7.6
R2-193,52.1,43.1,1.83,1.36,24.66,45.2,1.62,1.08,22.35,3.2,14.4,4,7.6
R2-194,36.7,43.7,2,0.24,29.74,46,2.07,2.84,28.98,2.8,14.2,3.6,7.6
R2-195,48.64,44.6,2.92,0.56,29.86,42.1,2.15,2.17,29.34,2,12,3.6,7.6
R2-196,55.4,44.1,2.27,0.22,27.36,43.9,1.74,0.74,27.36,5.6,20.8,3.4,7.6
R2-197,81.62,43.6,1.11,0.8,31.68,40.6,1.71,0.93,30.6,0.2,18,3.4,7.6
R2-198,62.77,45,1.9,0.1,25,45.8,1.5,0.8,31,3.2,18,3,7.6
R2-199,64.86206897,48.8,2.52,0.36,32.94,47.9,1.92,1.44,30.6,7.4,19.4,4.9,7.5
R2-200,49.00285714,46.8,2.33,0.59,31.5,47.1,1.81,1.55,35.1,4.4,12.4,4.6,7.5
R2-201,55.93533333,44,2.02,0.43,34.38,46.2,1.92,1.59,30.24,4.4,21.8,5.2,7.4
R2-202,55.25,45.3,2.33,0.65,33.3,45.9,1.51,1.6,33.12,5.6,22.6,5,7.4
R2-203,52.36,48,2.6,0.2,25,45.7,2,1.3,27,3.2,13.6,3.6,7.4
R2-204,71.1,46.6,1.19,1.08,28.98,44.1,1.6,1.28,28.08,1.6,15,2.8,7.4
R2-205,76.89,46,2,0.1,32,47.5,2.9,1.4,23.8,4.4,32,2.6,7.4
R2-206,76.92,45.6,1.01,0.5,28.19,45.2,1.31,0.93,26.64,3.6,16.6,0,7.4
R2-207,53.868,46.8,2.22,0.36,35.1,45.3,2.02,1.55,31.68,5.6,18.8,5.2,7.3
R2-208,59.71,48,1.8,0.1,24,47,2,1.3,24,2,16.2,2.3,7.3
R2-209,60.29576923,44.4,2.3,0.52,30.42,44.8,2,1.43,30.06,3.8,19.8,4.8,7.2
R2-210,74.72,46,2.3,0.3,24,49.8,2.6,2.4,24.7,5.2,31.6,4,7.2
R2-211,56.82,47,2.6,0.2,24,45.1,2.1,1.3,26.1,4,18.4,4,7.2
